iter	Passed	Remaining
0	140	13860
1	145	7132
2	150	4863
3	155	3739
4	161	3059
5	166	2605
6	171	2279
7	177	2036
8	181	1835
9	185	1665
10	189	1534
11	194	1428
12	199	1334
13	204	1253
14	208	1179
15	212	1113
16	215	1051
17	218	997
18	222	948
19	226	905
20	230	866
21	233	828
22	237	793
23	240	762
24	244	733
25	247	705
26	251	678
27	254	653
28	257	630
29	260	607
30	263	586
31	264	563
32	268	545
33	272	528
34	275	510
35	278	495
36	281	478
37	283	462
38	286	448
39	289	433
40	291	419
41	293	405
42	296	392
43	298	379
44	300	367
45	302	355
46	304	343
47	306	332
48	309	321
49	311	311
50	313	301
51	316	291
52	318	282
53	320	272
54	322	263
55	324	255
56	326	246
57	329	238
58	331	230
59	333	222
60	335	214
61	337	206
62	340	199
63	342	192
64	344	185
65	347	178
66	349	171
67	350	165
68	352	158
69	353	151
70	355	145
71	356	138
72	358	132
73	359	126
74	361	120
75	362	114
76	364	108
77	366	103
78	367	97
79	369	92
80	370	86
81	372	81
82	373	76
83	375	71
84	376	66
85	378	61
86	379	56
87	381	51
88	382	47
89	384	42
5	37
91	379	32
92	382	28
93	385	24
94	389	20
95	392	16
96	395	12
97	399	8
98	402	4
99	404	0
